y_salary_m_hu,y_inglab_m_ha,clase,estrato1,sex,age,regsalud,maxeduclevel,p6426,sizefirm,depto,hoursworkusual,cuentapropia,totalhoursworked,relab,formal
4131.9443359375,4131.9443359375,1,2,1,22,3.0,6.0,0.0,3.0,11,48.0,0,48.0,1.0,0.0
4375.0,4739.58349609375,1,2,1,44,1.0,7.0,36.0,5.0,11,48.0,0,48.0,1.0,1.0
3586.12426757812,4132.0595703125,1,1,1,23,1.0,6.0,7.0,5.0,11,48.0,0,48.0,1.0,1.0
2722.22216796875,2722.22216796875,1,1,1,28,3.0,3.0,6.0,5.0,11,60.0,0,60.0,1.0,0.0
3586.12426757812,3990.27709960938,1,1,1,41,1.0,5.0,48.0,4.0,11,48.0,0,48.0,1.0,1.0
4375.0,5284.70849609375,1,2,1,45,1.0,6.0,360.0,5.0,11,48.0,0,48.0,1.0,1.0
4511.111328125,5318.13330078125,1,2,0,44,1.0,6.0,300.0,2.0,11,45.0,0,45.0,1.0,1.0
5600.0,5911.11083984375,1,2,1,40,1.0,7.0,60.0,3.0,11,50.0,0,50.0,1.0,1.0
4666.66650390625,5871.18505859375,1,2,0,34,1.0,7.0,132.0,5.0,11,45.0,0,45.0,1.0,1.0
2868.8994140625,3370.46240234375,1,3,1,26,1.0,6.0,8.0,2.0,11,60.0,0,60.0,1.0,1.0
4303.34912109375,5491.2490234375,1,3,0,23,1.0,6.0,12.0,5.0,11,40.0,0,40.0,1.0,1.0
4148.14794921875,4148.14794921875,1,3,1,44,3.0,4.0,24.0,3.0,11,45.0,0,45.0,1.0,0.0
4375.0,4375.0,1,3,0,20,1.0,6.0,4.0,2.0,11,48.0,0,48.0,1.0,0.0
3586.12426757812,4430.09326171875,1,3,1,44,1.0,4.0,24.0,2.0,11,48.0,0,48.0,1.0,1.0
4200.0,4200.0,1,3,1,20,1.0,5.0,36.0,2.0,11,50.0,0,50.0,1.0,0.0
4861.111328125,6399.5234375,1,3,1,21,1.0,6.0,24.0,4.0,11,48.0,0,48.0,1.0,1.0
,,1,3,1,22,1.0,6.0,36.0,2.0,11,40.0,0,40.0,1.0,1.0
,,1,1,1,29,1.0,5.0,96.0,2.0,11,90.0,0,90.0,1.0,0.0
,,1,3,1,24,1.0,7.0,1.0,5.0,11,40.0,1,40.0,4.0,1.0
4166.66650390625,4166.66650390625,1,2,0,38,1.0,6.0,48.0,2.0,11,28.0,0,28.0,1.0,0.0
4666.66650390625,4666.66650390625,1,2,1,43,1.0,6.0,24.0,4.0,11,40.0,0,40.0,1.0,0.0
4861.111328125,4861.111328125,1,2,1,32,1.0,6.0,12.0,2.0,11,48.0,0,48.0,1.0,1.0
,,1,2,0,44,3.0,6.0,9.0,1.0,11,24.0,1,38.0,4.0,0.0
4303.34912109375,5113.22119140625,1,2,0,51,1.0,4.0,9.0,1.0,11,40.0,0,50.0,3.0,1.0
1555.55554199219,1555.55554199219,1,2,0,19,1.0,6.0,48.0,2.0,11,24.0,0,24.0,1.0,0.0
3888.88891601562,4536.28515625,1,2,0,38,1.0,4.0,48.0,3.0,11,60.0,0,60.0,1.0,1.0
3187.666015625,3259.6826171875,1,2,1,43,1.0,4.0,3.0,5.0,11,54.0,0,54.0,1.0,1.0
4303.34912109375,5371.666015625,1,2,1,54,1.0,6.0,36.0,5.0,11,40.0,0,40.0,1.0,1.0
,,1,2,0,67,1.0,5.0,204.0,1.0,11,30.0,1,30.0,4.0,0.0
